pregunta,respuesta,categoria,nivel_alerta
buenos dias,estoy aqui para escucharte,saludo,bajo
tengo problemas en mi casa,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
quiero hacerme daño ahora,busca ayuda urgente con un adulto de confianza,emergencia,critico
hola chatbot hoy,en que puedo ayudarte hoy,saludo,bajo
no quiero vivir en mi casa,es importante hablar inmediatamente con psicologia,emergencia,critico
me siento muy mal ultimamente,seria bueno hablar con el area psicologica,emocional_moderado,medio
quiero rendirme,no estas solo puedes recibir apoyo,motivacion,medio
quiero hablar con psicologia,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
no tengo ganas de hacer nada,puedes buscar apoyo emocional,emocional_moderado,medio
no quiero ir al colegio ahora,no estas solo puedes recibir apoyo,motivacion,medio
como estas ahora,en que puedo ayudarte hoy,saludo,bajo
no quiero vivir hoy,busca ayuda urgente con un adulto de confianza,emergencia,critico
buenas tardes en mi casa,estoy aqui para escucharte,saludo,bajo
quiero hacerme daño en mi casa,busca ayuda urgente con un adulto de confianza,emergencia,critico
quiero hacerme daño ultimamente,busca ayuda urgente con un adulto de confianza,emergencia,critico
quiero desaparecer en mi casa,es importante hablar inmediatamente con psicologia,emergencia,critico
no estoy bien hoy en mi casa,hablar puede ayudarte mucho,emocional_leve,bajo
me siento vacio ahora,no tienes que pasar por esto solo,emocional_moderado,medio
quiero rendirme en mi casa,no estas solo puedes recibir apoyo,motivacion,medio
no quiero estudiar,puedes comenzar con pequeñas metas,motivacion,medio
ando sin animos ahora,puedes contarme que paso,emocional_leve,bajo
tengo ansiedad ultimamente,puedes acudir al area psicologica,ansiedad,medio
quiero hacerme daño,busca ayuda urgente con un adulto de confianza,emergencia,critico
quiero apoyo emocional en mi casa,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
no quiero vivir hoy,es importante hablar inmediatamente con psicologia,emergencia,critico
no quiero vivir ultimamente,busca ayuda urgente con un adulto de confianza,emergencia,critico
hola hoy,estoy aqui para escucharte,saludo,bajo
tengo muchos examenes ahora,puedes pedir ayuda a tus profesores,estres_academico,medio
hay conflictos en mi hogar en mi casa,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
hola en el colegio,hola estoy aqui para ayudarte,saludo,bajo
no quiero vivir en mi casa,es importante hablar inmediatamente con psicologia,emergencia,critico
no estoy bien hoy,quieres contarme un poco mas,emocional_leve,bajo
me siento raro en mi casa,quieres contarme un poco mas,emocional_leve,bajo
buenos dias ahora,estoy aqui para escucharte,saludo,bajo
como estas en el colegio,en que puedo ayudarte hoy,saludo,bajo
no quiero estudiar,podemos buscar soluciones juntos,motivacion,medio
no quiero hablar con nadie,no tienes que pasar por esto solo,emocional_moderado,medio
me siento vacio en mi casa,seria bueno hablar con el area psicologica,emocional_moderado,medio
ando sin animos,quieres contarme un poco mas,emocional_leve,bajo
no quiero vivir hoy,busca ayuda urgente con un adulto de confianza,emergencia,critico
no quiero estudiar hoy,podemos buscar soluciones juntos,motivacion,medio
me preocupo demasiado,puedes acudir al area psicologica,ansiedad,medio
todo me sale mal ultimamente,puedes buscar apoyo emocional,emocional_moderado,medio
