id,pregunta,categoria,intencion,emocion_detectada,nivel_alerta,respuesta,recomendacion,pregunta_seguimiento,respuesta_final,tecnica_apoyo,contexto,requiere_derivacion,prioridad_atencion,accion_sistema
1,hola,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, me alegra que estés aquí. Este espacio es para escucharte con calma.","Empieza diciendo cómo te sientes ahora mismo, aunque sea con una sola palabra.",¿Cómo te sientes hoy?,"Hola, me alegra que estés aquí. Este espacio es para escucharte con calma.

Recomendación: Empieza diciendo cómo te sientes ahora mismo, aunque sea con una sola palabra.

¿Cómo te sientes hoy?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
2,hoy hola,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola. Gracias por escribirme; podemos conversar paso a paso, sin presión.",Respira un momento y escribe lo primero que te viene a la mente.,¿Qué pasó antes de que decidieras escribirme?,"Hola. Gracias por escribirme; podemos conversar paso a paso, sin presión.

Recomendación: Respira un momento y escribe lo primero que te viene a la mente.

¿Qué pasó antes de que decidieras escribirme?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
3,ultimamente hola,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, aquí estoy para acompañarte. Puedes contarme lo que puedas decir en este momento.","Puedes contarme si lo que pasa es del colegio, de casa, de amigos o de cómo te sientes.",¿Quieres hablar o prefieres que primero te sugiera una forma de calmarte?,"Hola, aquí estoy para acompañarte. Puedes contarme lo que puedas decir en este momento.

Recomendación: Puedes contarme si lo que pasa es del colegio, de casa, de amigos o de cómo te sientes.

¿Quieres hablar o prefieres que primero te sugiera una forma de calmarte?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
4,hola y necesito ayuda,saludo,iniciar_conversacion,NEUTRAL,BAJA,Hola. Me parece valioso que busques apoyo cuando algo te preocupa.,"Intenta ubicar la emoción principal: tristeza, enojo, miedo, ansiedad o cansancio.",¿Qué te gustaría contarme primero?,"Hola. Me parece valioso que busques apoyo cuando algo te preocupa.

Recomendación: Intenta ubicar la emoción principal: tristeza, enojo, miedo, ansiedad o cansancio.

¿Qué te gustaría contarme primero?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
5,hola puedes ayudarme,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, estoy contigo. Empezar hablando ya puede ayudar a ordenar un poco lo que sientes.","Si no sabes por dónde empezar, escribe: hoy me siento... porque...","¿Esto tiene que ver con el colegio, la familia, amigos o algo personal?","Hola, estoy contigo. Empezar hablando ya puede ayudar a ordenar un poco lo que sientes.

Recomendación: Si no sabes por dónde empezar, escribe: hoy me siento... porque...

¿Esto tiene que ver con el colegio, la familia, amigos o algo personal?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
6,hola por favor,saludo,iniciar_conversacion,NEUTRAL,BAJA,Hola. No tienes que explicar todo perfecto; dime con tus palabras qué está pasando.,Tómate tu tiempo; no necesitas responder rápido.,¿Qué emoción está más fuerte en este momento?,"Hola. No tienes que explicar todo perfecto; dime con tus palabras qué está pasando.

Recomendación: Tómate tu tiempo; no necesitas responder rápido.

¿Qué emoción está más fuerte en este momento?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
7,hoy hola por favor,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, me alegra que estés aquí. Este espacio es para escucharte con calma.",Respira un momento y escribe lo primero que te viene a la mente.,¿Qué pasó antes de que decidieras escribirme?,"Hola, me alegra que estés aquí. Este espacio es para escucharte con calma.

Recomendación: Respira un momento y escribe lo primero que te viene a la mente.

¿Qué pasó antes de que decidieras escribirme?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
8,ultimamente hola por favor,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola. Gracias por escribirme; podemos conversar paso a paso, sin presión.","Puedes contarme si lo que pasa es del colegio, de casa, de amigos o de cómo te sientes.",¿Quieres hablar o prefieres que primero te sugiera una forma de calmarte?,"Hola. Gracias por escribirme; podemos conversar paso a paso, sin presión.

Recomendación: Puedes contarme si lo que pasa es del colegio, de casa, de amigos o de cómo te sientes.

¿Quieres hablar o prefieres que primero te sugiera una forma de calmarte?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
9,hola por favor y necesito ayuda,saludo,iniciar_conversacion,NEUTRAL,BAJA,"Hola, aquí estoy para acompañarte. Puedes contarme lo que puedas decir en este momento.","Intenta ubicar la emoción principal: tristeza, enojo, miedo, ansiedad o cansancio.",¿Cómo te sientes hoy?,"Hola, aquí estoy para acompañarte. Puedes contarme lo que puedas decir en este momento.

Recomendación: Intenta ubicar la emoción principal: tristeza, enojo, miedo, ansiedad o cansancio.

¿Cómo te sientes hoy?",escucha_activa,general,NO,BAJA,Responder y continuar conversación
10,hola por favor puedes ayudarme,saludo,iniciar_conversacion,NEUTRAL,BAJA,Hola. Me parece valioso que busques apoyo cuando algo te preocupa.,"Si no sabes por dónde empezar, escribe: hoy me siento... porque...","¿Esto tiene que ver con el colegio, la familia, amigos o algo personal?","Hola. Me parece valioso que busques apoyo cuando algo te preocupa.

Recomendación: Si no sabes por dónde empezar, escribe: hoy me siento... porque...

¿Esto tiene que ver con el colegio, la familia, amigos o algo personal?",apertura_emocional,inicio,NO,BAJA,Responder y continuar conversación
